Income,MntCoffee,MntGoldProds,NumWebVisitsMonth
58138.0,635.0,88.0,
46344.0,,6.0,5.0
71613.0,,42.0,
26646.0,11.0,5.0,6.0
58293.0,173.0,15.0,5.0
,520.0,14.0,
55635.0,235.0,27.0,6.0
33454.0,76.0,23.0,8.0
30351.0,14.0,2.0,9.0
5648.0,28.0,13.0,20.0
,5.0,1.0,7.0
7500.0,6.0,16.0,8.0
63033.0,194.0,30.0,2.0
59354.0,233.0,14.0,6.0
17323.0,3.0,5.0,8.0
82800.0,1006.0,45.0,3.0
41850.0,53.0,4.0,8.0
37760.0,84.0,28.0,7.0
76995.0,1012.0,176.0,5.0
33812.0,,39.0,
37040.0,86.0,48.0,8.0
2447.0,1.0,1.0,1.0
58607.0,867.0,19.0,8.0
65324.0,384.0,5.0,4.0
40689.0,270.0,99.0,8.0
18589.0,6.0,13.0,
,,41.0,7.0
,5.0,362.0,1.0
38360.0,36.0,10.0,3.0
84618.0,684.0,0.0,
,8.0,4.0,5.0
38620.0,112.0,89.0,3.0
40548.0,110.0,3.0,5.0
46610.0,96.0,43.0,6.0
68657.0,482.0,22.0,7.0
,40.0,3.0,7.0
67353.0,702.0,35.0,2.0
23718.0,,36.0,7.0
42429.0,55.0,4.0,5.0
48948.0,437.0,42.0,6.0
80011.0,421.0,102.0,4.0
20559.0,13.0,7.0,
21994.0,9.0,3.0,5.0
,,39.0,2.0
7500.0,3.0,12.0,5.0
79941.0,123.0,174.0,1.0
,3.0,50.0,9.0
41728.0,13.0,13.0,10.0
,48.0,7.0,6.0
72550.0,826.0,38.0,
65486.0,245.0,14.0,2.0
79143.0,650.0,32.0,3.0
35790.0,12.0,3.0,7.0
82582.0,510.0,241.0,
,328.0,109.0,3.0
82384.0,984.0,190.0,1.0
70287.0,295.0,40.0,3.0
27938.0,13.0,,3.0
,11.0,6.0,6.0
55954.0,447.0,43.0,7.0
75777.0,712.0,80.0,1.0
66653.0,,6.0,3.0
61823.0,523.0,169.0,7.0
67680.0,546.0,6.0,5.0
70666.0,398.0,30.0,
25721.0,,15.0,7.0
32474.0,10.0,0.0,7.0
88194.0,688.0,38.0,5.0
69096.0,247.0,109.0,4.0
74854.0,,73.0,5.0
66991.0,496.0,12.0,3.0
,25.0,17.0,8.0
65031.0,,86.0,7.0
60631.0,565.0,19.0,7.0
28332.0,14.0,9.0,2.0
40246.0,2.0,1.0,6.0
75251.0,721.0,18.0,5.0
75825.0,1032.0,51.0,4.0
26326.0,1.0,9.0,3.0
56046.0,577.0,51.0,8.0
,64.0,17.0,8.0
26304.0,4.0,4.0,7.0
23559.0,25.0,23.0,7.0
,112.0,89.0,3.0
81361.0,163.0,76.0,1.0
29440.0,17.0,3.0,7.0
36138.0,130.0,5.0,7.0
50388.0,,34.0,7.0
79593.0,,145.0,2.0
54178.0,,7.0,2.0
,,53.0,
,7.0,1.0,7.0
,445.0,18.0,1.0
42394.0,15.0,4.0,7.0
23626.0,27.0,0.0,5.0
30096.0,5.0,9.0,
47916.0,505.0,75.0,6.0
51813.0,51.0,2.0,7.0
78497.0,207.0,223.0,
50150.0,135.0,11.0,5.0
47823.0,53.0,10.0,8.0
34554.0,41.0,5.0,6.0
,386.0,111.0,5.0
65846.0,562.0,81.0,4.0
87195.0,217.0,38.0,1.0
24594.0,1.0,9.0,5.0
49096.0,144.0,7.0,7.0
52413.0,295.0,65.0,
38557.0,76.0,27.0,7.0
89058.0,454.0,43.0,2.0
77298.0,425.0,79.0,3.0
,1332.0,86.0,9.0
57288.0,527.0,60.0,
86037.0,490.0,22.0,
43974.0,378.0,72.0,7.0
50785.0,64.0,27.0,6.0
90765.0,547.0,33.0,1.0
36550.0,47.0,120.0,9.0
30753.0,12.0,30.0,5.0
21918.0,1.0,3.0,6.0
56129.0,320.0,48.0,4.0
32557.0,34.0,10.0,5.0
19510.0,9.0,7.0,7.0
30992.0,17.0,2.0,7.0
101970.0,722.0,168.0,2.0
71488.0,162.0,172.0,1.0
79607.0,450.0,216.0,1.0
54348.0,70.0,4.0,6.0
,352.0,15.0,6.0
77376.0,492.0,12.0,
62998.0,120.0,58.0,5.0
61331.0,534.0,41.0,
73448.0,236.0,130.0,
,231.0,124.0,4.0
41551.0,220.0,23.0,8.0
62981.0,796.0,0.0,3.0
9548.0,0.0,9.0,8.0
,53.0,16.0,8.0
35860.0,15.0,20.0,
36921.0,17.0,4.0,7.0
92859.0,962.0,20.0,2.0
,738.0,50.0,7.0
86111.0,399.0,126.0,2.0
68352.0,,33.0,6.0
41883.0,,116.0,7.0
59809.0,598.0,49.0,8.0
23957.0,,16.0,6.0
38547.0,6.0,4.0,8.0
35688.0,73.0,32.0,
49605.0,42.0,8.0,3.0
59354.0,295.0,13.0,3.0
65747.0,346.0,13.0,
46344.0,233.0,91.0,7.0
34176.0,5.0,20.0,6.0
61010.0,888.0,76.0,5.0
69372.0,997.0,42.0,4.0
,212.0,3.0,7.0
,8.0,0.0,4.0
55375.0,42.0,14.0,2.0
80317.0,536.0,57.0,1.0
30523.0,5.0,5.0,7.0
70356.0,1349.0,33.0,6.0
23228.0,53.0,5.0,8.0
74165.0,1001.0,12.0,
157243.0,20.0,1.0,0.0
43482.0,18.0,28.0,6.0
62551.0,125.0,27.0,3.0
52332.0,212.0,2.0,4.0
,277.0,124.0,1.0
26091.0,15.0,20.0,5.0
33456.0,7.0,7.0,
28718.0,12.0,16.0,8.0
50447.0,85.0,27.0,6.0
,81.0,6.0,5.0
52074.0,59.0,48.0,4.0
80427.0,1149.0,26.0,5.0
83837.0,847.0,111.0,4.0
,29.0,2.0,7.0
,2.0,1.0,2.0
78497.0,207.0,,2.0
51650.0,152.0,7.0,5.0
16248.0,12.0,9.0,6.0
66835.0,620.0,141.0,2.0
30477.0,47.0,12.0,6.0
28249.0,1.0,10.0,6.0
25271.0,10.0,7.0,
32303.0,35.0,2.0,5.0
61286.0,356.0,117.0,5.0
74068.0,783.0,15.0,2.0
45759.0,,4.0,7.0
,1.0,36.0,6.0
,466.0,102.0,3.0
36640.0,15.0,25.0,5.0
38872.0,23.0,22.0,8.0
51148.0,,12.0,6.0
31353.0,10.0,7.0,8.0
69661.0,656.0,8.0,3.0
80067.0,519.0,51.0,2.0
86718.0,344.0,172.0,
46854.0,96.0,79.0,8.0
69142.0,448.0,39.0,
75922.0,265.0,92.0,1.0
63693.0,587.0,54.0,6.0
102160.0,763.0,58.0,4.0
40637.0,22.0,3.0,7.0
18890.0,6.0,15.0,6.0
29604.0,7.0,14.0,9.0
48721.0,81.0,21.0,6.0
44794.0,54.0,4.0,6.0
64497.0,1170.0,192.0,8.0
46097.0,72.0,8.0,4.0
77972.0,613.0,12.0,1.0
44377.0,224.0,10.0,8.0
46014.0,410.0,44.0,7.0
70951.0,239.0,54.0,1.0
,,89.0,8.0
,12.0,1.0,8.0
83790.0,1076.0,16.0,3.0
44551.0,182.0,66.0,7.0
69508.0,824.0,43.0,6.0
,,18.0,3.0
72460.0,,10.0,1.0
77622.0,520.0,14.0,3.0
30732.0,155.0,3.0,8.0
63887.0,897.0,92.0,6.0
42011.0,131.0,39.0,8.0
51369.0,297.0,182.0,8.0
51537.0,787.0,92.0,8.0
79930.0,792.0,17.0,2.0
,4.0,0.0,8.0
37070.0,231.0,39.0,7.0
81975.0,983.0,27.0,7.0
38590.0,3.0,3.0,8.0
15033.0,0.0,4.0,3.0
62745.0,562.0,32.0,5.0
22212.0,5.0,21.0,6.0
23661.0,18.0,1.0,7.0
79761.0,415.0,11.0,3.0
7500.0,5.0,20.0,
60182.0,8.0,2.0,4.0
73455.0,901.0,20.0,3.0
